family,outcome,p_value,estimate,q_value_bh_fdr,significant_5pct_after_fdr
stackoverflow_baseline,log_questions,1.567000885716041e-05,-0.3012703189551712,7.835004428580206e-05,True
stackoverflow_baseline,log_answers,0.000131322877003,-0.2539067540077309,0.00049246078876125,True
stackoverflow_baseline,answer_rate,0.004396660457866,0.0213796121333535,0.013189981373598,True
stackoverflow_baseline,accepted_answer_share,0.1809997139082719,-0.0077876095024824,0.38523775677596117,False
stackoverflow_baseline,avg_body_length,0.2054601369471793,-49.320837875361256,0.38523775677596117,False
stackoverflow_baseline,code_share,2.194053144499719e-06,-0.0232908172347678,1.6455398583747893e-05,True
stackoverflow_baseline,how_to_share,0.7567555331238998,-0.0009055128129684,0.7994669526694327,False
stackoverflow_baseline,short_code_share,3.699240913590529e-11,-0.0338254633072556,5.548861370385794e-10,True
github_extension,log1p_events,0.4949253451171577,0.0514711146312958,0.6748981978870333,False
github_extension,log1p_active_actors,0.544048851588397,0.0257475497427112,0.6800610644854962,False
github_extension,log1p_first_seen_actors_language,0.4133838658277421,0.0424416428979829,0.6200757987416132,False
github_extension,log1p_pr_events,0.7994669526694327,-0.0215088526504396,0.7994669526694327,False
github_extension,log1p_pr_first_seen_actors,0.0842585008129326,0.0513265557566098,0.21064625203233148,False
github_extension,log1p_issue_events,0.317508673811093,0.0868142082686582,0.5291811230184883,False
github_extension,log1p_issue_first_seen_actors,0.78486798872852,0.0141159020496896,0.7994669526694327,False
